date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:39	67400/67400	---M--	200	added ('OK')	font/woff2	etag:%223d83623-10748-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-solid-900.woff2	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-solid-900.woff2	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:41	180500/180500	---M--	200	added ('OK')	font/ttf	etag:%223d8362c-2c114-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-solid-900.ttf	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-solid-900.ttf	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:41	648265/648265	---M--	200	added ('OK')	image/svg+xml	etag:%223d83622-9e449-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-brands-400.svg	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-brands-400.svg	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:42	50632/50632	---M--	200	added ('OK')	font/woff2	etag:%223d82c75-c5c8-5b4758a4c9000%22	https://goldd.in//assets/lib/ionicons/fonts/ionicons.woff2?v=4.2.5	C:/xampp/htdocs/Gold/goldd.in/assets/lib/ionicons/fonts/ionicons53d0.woff2	(from https://goldd.in//assets/lib/ionicons/css/ionicons.min.css)
18:35:44	112650/112650	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223d82c77-1b80a-5b4758a4c9000%22	https://goldd.in//assets/lib/ionicons/fonts/ionicons.eot?v=4.2.5	C:/xampp/htdocs/Gold/goldd.in/assets/lib/ionicons/fonts/ionicons53d0.eot	(from https://goldd.in//assets/lib/ionicons/css/ionicons.min.css)
18:35:44	65912/65912	---M--	200	added ('OK')	font/woff	etag:%223d82c79-10178-5b4758a4c9000%22	https://goldd.in//assets/lib/ionicons/fonts/ionicons.woff?v=4.2.5	C:/xampp/htdocs/Gold/goldd.in/assets/lib/ionicons/fonts/ionicons53d0.woff	(from https://goldd.in//assets/lib/ionicons/css/ionicons.min.css)
18:35:46	112472/112472	---M--	200	added ('OK')	font/ttf	etag:%223d82c76-1b758-5b4758a4c9000%22	https://goldd.in//assets/lib/ionicons/fonts/ionicons.ttf?v=4.2.5	C:/xampp/htdocs/Gold/goldd.in/assets/lib/ionicons/fonts/ionicons53d0.ttf	(from https://goldd.in//assets/lib/ionicons/css/ionicons.min.css)
18:35:46	100204/100204	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223da2f13-1876c-5b4758a4c9000%22	https://goldd.in//assets/lib/typicons.font/typicons.eot	C:/xampp/htdocs/Gold/goldd.in/assets/lib/typicons.font/typicons.eot	(from https://goldd.in//assets/lib/typicons.font/typicons.css)
18:35:47	59872/59872	---M--	200	added ('OK')	font/woff	etag:%223da2f0e-e9e0-5b4758a4c9000%22	https://goldd.in//assets/lib/typicons.font/typicons.woff	C:/xampp/htdocs/Gold/goldd.in/assets/lib/typicons.font/typicons.woff	(from https://goldd.in//assets/lib/typicons.font/typicons.css)
18:35:48	680510/680510	---M--	200	added ('OK')	image/svg+xml	etag:%223d83629-a623e-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/webfonts/fa-solid-900.svg	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/webfonts/fa-solid-900.svg	(from https://goldd.in//assets/lib/fontawesome-free/css/all.min.css)
18:35:49	100204/100204	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223da2f13-1876c-5b4758a4c9000%22	https://goldd.in//assets/lib/typicons.font/typicons.eot?	C:/xampp/htdocs/Gold/goldd.in/assets/lib/typicons.font/typiconsd41d.eot	(from https://goldd.in//assets/lib/typicons.font/typicons.css)
18:35:49	99920/99920	---M--	200	added ('OK')	font/ttf	etag:%223da2f12-18650-5b4758a4c9000%22	https://goldd.in//assets/lib/typicons.font/typicons.ttf	C:/xampp/htdocs/Gold/goldd.in/assets/lib/typicons.font/typicons.ttf	(from https://goldd.in//assets/lib/typicons.font/typicons.css)
18:35:49	312749/312749	---M--	200	added ('OK')	image/svg+xml	etag:%223d82c78-4c5ad-5b4758a4c9000%22	https://goldd.in//assets/lib/ionicons/fonts/ionicons.svg?v=4.2.5	C:/xampp/htdocs/Gold/goldd.in/assets/lib/ionicons/fonts/ionicons53d0.svg	(from https://goldd.in//assets/lib/ionicons/css/ionicons.min.css)
18:35:49	304/304	---M--	200	added ('OK')	image/png	etag:%223d826df-130-5b4758a4c9000%22	https://goldd.in//assets/lib/ion-rangeslider/img/sprite-skin-flat.png	C:/xampp/htdocs/Gold/goldd.in/assets/lib/ion-rangeslider/img/sprite-skin-flat.png	(from https://goldd.in//assets/lib/ion-rangeslider/css/ion.rangeSlider.skinFlat.css)
18:35:50	1472/1472	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2001%20May%202021%2013:05:49%20GMT	https://goldd.in/home/index.html	C:/xampp/htdocs/Gold/goldd.in/home/index.html	(from https://goldd.in/home/chart)
18:35:51	496457/496457	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20May%202021%2013:05:49%20GMT	https://goldd.in/home/	C:/xampp/htdocs/Gold/goldd.in/home/index-2.html	(from https://goldd.in/home/chart)
18:35:52	186474/186474	---M--	200	added ('OK')	image/svg+xml	etag:%223da2f11-2d86a-5b4758a4c9000%22	https://goldd.in//assets/lib/typicons.font/typicons.svg	C:/xampp/htdocs/Gold/goldd.in/assets/lib/typicons.font/typicons.svg	(from https://goldd.in//assets/lib/typicons.font/typicons.css)
18:35:52	27918/27918	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20May%202021%2013:05:51%20GMT	https://goldd.in/otc_history	C:/xampp/htdocs/Gold/goldd.in/otc_history.html	(from https://goldd.in/otc)
